arch,classification,segmentation,#params,input shape height,input shape width,input shape depth,batch size,batch processing time,batch processing time std
DenseNet121,1.0,0.0,16423290,2,2,1,10.0,0.13462440172831214,0.013625077386835984
DenseNet121,1.0,0.0,16423290,4,4,1,10.0,0.1364292621612549,0.0060983773760098356
DenseNet121,1.0,0.0,16423290,8,8,1,10.0,0.135526974995931,0.003935487372415085
DenseNet121,1.0,0.0,16423290,16,16,1,10.0,0.13723117510477706,0.005239795834109854
DenseNet121,1.0,0.0,16423290,32,32,1,10.0,0.1381673812866211,0.003359420181777573
DenseNet121,1.0,0.0,16423290,64,64,1,10.0,0.1547448476155599,0.002334741508071223
DenseNet121,1.0,0.0,16423290,128,128,1,10.0,0.253440793355306,0.002281815178628681
ResNet152,1.0,0.0,88431498,2,2,1,10.0,0.26142899990081786,0.006476890058176942
ResNet152,1.0,0.0,88431498,4,4,1,10.0,0.2638683478037516,0.005223474090396089
ResNet152,1.0,0.0,88431498,8,8,1,10.0,0.2625311215718587,0.009005802878633146
ResNet152,1.0,0.0,88431498,16,16,1,10.0,0.26276583671569825,0.004645013127982472
ResNet152,1.0,0.0,88431498,32,32,1,10.0,0.2876230796178182,0.01129544702242592
ResNet152,1.0,0.0,88431498,64,64,1,10.0,0.3412073294321696,0.014718846278448872
ResNet152,1.0,0.0,88431498,128,128,1,10.0,0.5241300423940023,0.0034926628547681466
VGG7,1.0,0.0,1215142,2,2,1,10.0,0.008422295252482096,0.0006124775905917121
VGG7,1.0,0.0,1215142,4,4,1,10.0,0.008388940493265789,0.0006592910317469397
VGG7,1.0,0.0,1215142,8,8,1,10.0,0.008489068349202473,0.0007198023847671456
VGG7,1.0,0.0,1222822,16,16,1,10.0,0.009692152341206869,0.0006513705657695517
VGG7,1.0,0.0,1253542,32,32,1,10.0,0.015139945348103841,0.0005398884840667028
VGG7,1.0,0.0,1376422,64,64,1,10.0,0.040041478474934895,0.00036033356403508107
VGG7,1.0,0.0,1867942,128,128,1,10.0,0.1397714376449585,0.0004911685536507366
ResNet101,1.0,0.0,42559370,2,2,1,10.0,0.1215227444966634,0.004426798910038153
ResNet101,1.0,0.0,42559370,4,4,1,10.0,0.1186487356821696,0.0019082175845717047
ResNet101,1.0,0.0,42559370,8,8,1,10.0,0.1189828872680664,0.002231947666149884
ResNet101,1.0,0.0,42559370,16,16,1,10.0,0.12021950085957844,0.0026823135982422075
ResNet101,1.0,0.0,42559370,32,32,1,10.0,0.12473159631093345,0.002783385983828793
ResNet101,1.0,0.0,42559370,64,64,1,10.0,0.15523049036661785,0.0020214166103587512
ResNet101,1.0,0.0,42559370,128,128,1,10.0,0.2565430720647176,0.0011645258194993276
ResNet18,1.0,0.0,11178378,2,2,1,10.0,0.03817417621612549,0.0008568298588457695
ResNet18,1.0,0.0,11178378,4,4,1,10.0,0.0378384272257487,0.0006836823754896008
ResNet18,1.0,0.0,11178378,8,8,1,10.0,0.038104462623596194,0.0008178042900566952
ResNet18,1.0,0.0,11178378,16,16,1,10.0,0.03853489557902018,0.0011760356548950026
ResNet18,1.0,0.0,11178378,32,32,1,10.0,0.03893633683522543,0.0007805979099423281
ResNet18,1.0,0.0,11178378,64,64,1,10.0,0.04448552131652832,0.000984664372025784
ResNet18,1.0,0.0,11178378,128,128,1,10.0,0.07012080351511638,0.0005755631226742673
MobileNet,1.0,0.0,3766890,2,2,1,10.0,0.015474541982014974,0.000992491402756218
MobileNet,1.0,0.0,3766890,4,4,1,10.0,0.015908829371134442,0.001825770434869848
MobileNet,1.0,0.0,3766890,8,8,1,10.0,0.014838933944702147,0.001225344732360653
MobileNet,1.0,0.0,3766890,16,16,1,10.0,0.016343124707539878,0.0011900523069301176
MobileNet,1.0,0.0,3766890,32,32,1,10.0,0.01878307660420736,0.0012399580268501176
MobileNet,1.0,0.0,3766890,64,64,1,10.0,0.027506415049235025,0.0010252772936568354
MobileNet,1.0,0.0,3766890,128,128,1,10.0,0.07540257771809895,0.0015235569273264974
VGG19,1.0,0.0,20039590,2,2,1,10.0,0.05768649578094483,0.0007199580437780678
VGG19,1.0,0.0,20039590,4,4,1,10.0,0.05775330861409505,0.0007137130390643189
VGG19,1.0,0.0,20039590,8,8,1,10.0,0.058421691258748375,0.0007290697349334693
VGG19,1.0,0.0,20039590,16,16,1,10.0,0.060996325810750325,0.0004565845672468711
VGG19,1.0,0.0,20039590,32,32,1,10.0,0.07343970934549968,0.0007947659302525704
